Timestamp,I turn off the light when I'm out of the room.,I turn off the water when I brush my teeth.,I walk or ride a bike(or bus) instead of driving a car when going to school.,I do recycle.,I use the water bottle and multi-use container instead of disposable product.,I turn off the light when I'm out of the room.,I turn off the water when I brush my teeth.,I walk or ride a bike(or bus) instead of driving a car when going to school.,I do recycle.,I use the water bottle and multi-use container instead of disposable product.,I turn off the light when I'm out of the room.,I turn off the water when I brush my teeth.,I walk or ride a bike(or bus) instead of driving a car when going to school.,I do recycle.,I use the water bottle and multi-use container instead of disposable product.,What made you change? Select all that apply.,"If you selected others on previous question, please write what it was."
10/28/2023 22:27:57,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Sustainbility promotions, Documentary about Earth environment",
10/28/2023 22:28:10,Yes,Yes,No,Sometimes,Sometimes,Yes,Yes,No,Sometimes,Sometimes,Yes,Yes,No,Sometimes,Sometimes,Others (Please write on the next question),I didn’t change
10/28/2023 22:28:18,Yes,Yes,Yes,No,Yes,Yes,Yes,Sometimes,Sometimes,No,Yes,Sometimes,No,Yes,Yes,"Sustainbility promotions, Documentary about Earth environment",
10/28/2023 22:28:46,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Others (Please write on the next question),Mainly my parents. It’s just habit.
10/28/2023 22:30:07,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Others (Please write on the next question),My parents made me do it
10/28/2023 22:30:24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Documentary about Earth environment,
10/28/2023 22:39:40,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Sometimes,Others (Please write on the next question),i don't know
10/28/2023 22:40:00,Yes,Yes,No,No,Sometimes,Yes,No,Yes,Sometimes,No,Yes,No,Yes,No,No,"Sustainbility promotions, Documentary about Earth environment",
10/28/2023 22:42:01,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Documentary about Earth environment,
10/28/2023 22:47:19,Yes,Sometimes,Yes,Sometimes,Yes,Yes,Yes,No,Yes,Sometimes,Sometimes,Sometimes,No,No,Yes,Sustainbility promotions,
10/28/2023 22:48:58,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Sustainbility promotions,
10/28/2023 22:49:31,Yes,Yes,No,Sometimes,Yes,Sometimes,Yes,Sometimes,Sometimes,Yes,Sometimes,Yes,No,Sometimes,Sometimes,Documentary about Earth environment,
10/28/2023 22:50:41,Sometimes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Sustainbility promotions,
10/28/2023 22:50:51,Yes,Yes,No,Sometimes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Others (Please write on the next question),
10/28/2023 22:51:21,Yes,Yes,No,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Sustainbility promotions,
10/28/2023 23:05:25,Yes,Yes,Yes,No,Sometimes,Yes,Yes,Yes,Yes,Sometimes,No,Yes,Yes,No,Yes,Documentary about Earth environment,
10/28/2023 23:27:26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Sustainbility promotions, Documentary about Earth environment",
10/28/2023 23:31:18,Yes,Yes,Yes,Sometimes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Others (Please write on the next question),"Recycling is not required in US, while it was mandatory in South Korea"
10/29/2023 0:01:05,Yes,Yes,Sometimes,No,Sometimes,Yes,Yes,Sometimes,Sometimes,Sometimes,Yes,Yes,Yes,Sometimes,Sometimes,Others (Please write on the next question),"Recycling does more harm than good when it isn’t done properly and majority of recycling isn’t done the right way; however I still do it sometimes because I feel guilty for not doing it when I can, but i don’t do it enough to say that I actually do them"
10/29/2023 0:11:21,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Yes,"Sustainbility promotions, Documentary about Earth environment",
10/29/2023 0:16:24,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Others (Please write on the next question),No reason
10/29/2023 0:17:13,Yes,Sometimes,Yes,Sometimes,No,Sometimes,Sometimes,Sometimes,No,Yes,Yes,Sometimes,Yes,Sometimes,Yes,Sustainbility promotions,
10/29/2023 0:32:18,Yes,Sometimes,No,Yes,Yes,Yes,Sometimes,No,Sometimes,Yes,No,Yes,No,Sometimes,Sometimes,Sustainbility promotions,It became a trend to take care of things in musically and youtube
10/29/2023 0:32:54,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,Yes,Yes,Sometimes,Others (Please write on the next question),"I just realized that if I can be the one who can contribute to the environment, it will change itself a lot. It’s not because I love the environment so much. It is because my offspring will use this environment later, so I do not want to leave the worst environment even though I could contribute to make it better."
10/29/2023 0:44:33,Yes,Yes,Yes,Sometimes,Sometimes,Yes,Yes,Sometimes,Sometimes,Sometimes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sustainbility promotions,
10/29/2023 1:11:33,Yes,Yes,Yes,Yes,Sometimes,Yes,Yes,No,Sometimes,Sometimes,Sometimes,Sometimes,No,Yes,Yes,"Sustainbility promotions, Documentary about Earth environment",
10/29/2023 1:43:35,Yes,Yes,No,Yes,Sometimes,Yes,Yes,No,Yes,Sometimes,Yes,Yes,No,Yes,Sometimes,Sustainbility promotions,
